Entropy;SpeechRate;SpeechAcceleration;PauseInt;VoicedInt;GapingInt;UnvoicedStops;UnvoicedFricativesDecay;RelativeRespirationLoudness;RespirationPauseInt;RespirationSpeechRate;RespiratoryExcancheLatency
1,565;266;5,48;305;289;43,59;20,13;-0,513;-21,41;4,00;19,71;365
1,543;273;0,93;217;308;41,71;49,37;-0,013;-20,04;3,00;22,39;96
1,561;257;-11,18;284;315;46,48;31,37;0,178;-18,49;3,00;25,28;125
1,560;231;-2,44;247;437;44,28;26,87;1,119;-19,72;3,00;17,38;209
1,547;170;2,06;453;344;35,29;42,62;0,073;-21,58;2,00;26,43;348
1,557;238;5,36;293;345;39,23;31,38;-0,918;-20,42;3,00;23,22;98
1,565;267;-2,38;259;309;50,25;35,87;-0,035;-20,01;4,00;16,98;146
1,554;287;6,68;286;256;44,91;31,37;0,109;-22,18;3,00;21,97;323
1,536;246;-0,78;245;347;28,73;35,88;0,154;-20,16;3,00;19,94;15
1,566;271;-1,52;240;339;45,18;26,88;0,000;-22,11;5,00;12,36;112
1,574;311;2,36;158;293;71,32;22,37;-0,587;-17,22;8,00;14,73;171
1,559;259;0,95;274;310;34,53;26,88;-0,834;-22,43;5,00;14,24;208
1,558;322;0,90;161;310;47,61;31,37;0,156;-18,52;6,00;15,77;79
1,554;261;7,64;260;352;34,61;26,87;-0,204;-20,92;3,00;18,22;120
1,544;259;-2,74;271;348;28,56;35,87;0,789;-20,99;3,00;20,93;128
1,542;228;-0,33;344;353;31,36;35,87;-0,351;-21,55;2,00;24,22;107
1,557;302;-6,13;231;235;59,10;31,37;-0,186;-11,81;3,00;28,88;323
1,512;202;-3,03;384;440;16,62;49,37;-0,857;-23,06;2,00;16,32;93
1,536;235;1,52;297;354;40,03;58,37;-0,286;-23,53;3,00;17,95;102
1,556;269;0,21;253;348;27,13;22,38;0,241;-23,91;3,00;24,02;93
1,559;390;4,02;140;269;54,93;17,88;0,139;-18,47;6,00;17,65;70
1,558;268;0,96;202;329;39,90;22,38;0,296;-17,88;4,00;18,10;89
1,567;307;-2,59;191;284;59,45;26,87;1,487;-20,88;5,00;13,79;144
1,558;270;2,23;202;322;63,10;22,37;0,116;-19,77;6,00;16,46;128
1,547;255;0,70;186;360;37,84;35,88;0,286;-20,91;3,00;15,51;80
1,530;144;3,85;379;671;14,68;40,37;0,039;-24,31;1,50;21,00;52
1,554;338;-1,97;143;307;38,18;22,37;0,555;-21,27;5,00;15,44;69
1,575;339;5,30;178;260;74,16;22,37;-0,318;-16,02;5,00;24,07;117
1,550;266;4,61;178;317;58,27;29,13;-0,347;-19,73;5,00;16,04;90
1,571;288;10,42;227;291;56,59;26,88;0,725;-16,65;4,50;14,54;156
1,539;241;3,69;269;381;27,91;29,13;0,335;-25,79;2,00;18,49;128
1,548;335;-0,12;215;274;31,49;22,38;0,338;-24,61;6,00;13,72;260
1,558;342;-1,28;199;242;72,96;17,88;0,135;-18,61;3,00;24,95;150
1,542;347;11,65;226;258;32,87;22,38;-0,448;-23,69;3,00;18,23;116
1,557;294;-6,10;219;305;35,46;31,37;-0,406;-12,46;5,00;13,89;58
1,567;333;-0,98;180;278;60,97;17,88;-1,003;-21,09;3,50;21,51;140
1,555;215;-5,91;258;407;26,44;26,87;0,606;-21,00;3,00;19,95;180
1,541;265;14,64;142;392;36,95;26,87;-0,687;-22,15;5,00;9,00;51
1,562;295;5,63;211;299;30,62;22,38;0,434;-26,54;5,00;14,34;138
1,576;367;8,71;151;264;59,11;17,88;-0,338;-22,21;10,50;9,24;240
1,564;393;3,60;147;238;65,63;26,87;0,127;-9,27;5,00;17,70;108
1,530;314;1,05;179;311;26,16;26,88;0,010;-21,32;3,00;17,80;50
1,555;316;3,92;157;324;42,14;22,38;-0,837;-22,63;4,00;20,23;75
1,566;307;0,49;130;380;50,90;22,37;0,339;-22,34;7,00;11,08;83
1,568;343;-1,42;161;293;59,15;22,37;-0,245;-17,34;6,00;13,29;122
1,565;337;5,26;173;290;48,09;31,37;1,323;-12,78;7,00;14,82;70
1,544;233;-0,62;255;367;39,71;31,38;0,029;-24,14;4,00;15,90;250
1,564;290;-4,01;285;259;42,95;26,88;-0,328;-21,65;5,00;18,67;229
1,574;412;2,60;152;211;72,56;17,88;-0,758;-17,66;8,00;15,48;140
1,512;301;3,02;139;360;22,71;22,38;0,181;-16,74;5,00;9,76;92
1,574;348;-3,52;141;300;60,65;17,88;0,141;-19,12;9,00;9,97;151
1,558;367;3,62;117;274;52,62;22,38;-0,664;-14,34;7,00;11,35;44
1,560;235;8,86;233;341;63,91;26,88;0,438;-17,68;3,00;25,86;55
1,567;346;1,71;176;261;53,60;22,37;0,435;-19,24;4,00;19,21;72
1,556;275;1,22;270;295;41,81;22,38;-0,172;-22,68;4,00;19,31;129
1,551;268;1,74;298;286;39,87;31,37;1,027;-20,42;3,00;20,13;120
1,566;344;-1,66;166;267;56,52;31,37;0,019;-17,74;6,00;12,54;104
1,551;400;1,40;174;216;46,17;22,38;0,319;-20,85;6,00;18,19;86
1,560;351;5,07;207;242;52,93;26,88;-0,538;-13,67;3,00;21,44;84
